League,Team,Last Name,First Name,MLB ID,Sheet
AL,Boston Red Sox,Abreu,Wilyer,677800,Yes
AL,Boston Red Sox,Anthony,Roman,701350,Yes
AL,Boston Red Sox,Bello,Brayan,678394,Yes
AL,Boston Red Sox,Bennett,Jake,687562,Yes
AL,Boston Red Sox,Brebbia,John,605154,No
AL,Boston Red Sox,Burgos,Raymond,670103,No
AL,Boston Red Sox,Chapman,Aroldis,547973,Yes
AL,Boston Red Sox,Cheng,Tsung-Che,691907,No
AL,Boston Red Sox,Contreras,Willson,575929,Yes
AL,Boston Red Sox,Crochet,Garrett,676979,No
AL,Boston Red Sox,Duran,Jarren,680776,Yes
AL,Boston Red Sox,Durbin,Caleb,702332,No
AL,Boston Red Sox,Eaton,Nate,681987,No
AL,Boston Red Sox,Gamboa,Alec,687941,No
AL,Boston Red Sox,Gasper,Mickey,681508,Yes
AL,Boston Red Sox,Gonzalez,Romy,663853,No
AL,Boston Red Sox,Gray,Sonny,543243,Yes
AL,Boston Red Sox,Guerrero,Tyron,594027,No
AL,Boston Red Sox,Jones,Jahmai,663330,No
AL,Boston Red Sox,Kahnle,Tommy,592454,No
AL,Boston Red Sox,Kelly,Zack,677161,No
AL,Boston Red Sox,Kiner-Falefa,Isiah,643396,No
AL,Boston Red Sox,La Sorsa,Joe,686747,No
AL,Boston Red Sox,Martinez,Seth,661527,No
AL,Boston Red Sox,Mead,Curtis,678554,Yes
AL,Boston Red Sox,Miller,Erik,669062,Yes
AL,Boston Red Sox,Monasterio,Andruw,655316,No
AL,Boston Red Sox,Morán,Jovani,663558,No
AL,Boston Red Sox,Olds,Wyatt,681544,No
AL,Boston Red Sox,Oviedo,Johan,670912,No
AL,Boston Red Sox,Paez,Jedixson,699151,No
AL,Boston Red Sox,Rafaela,Ceddanne,678882,Yes
AL,Boston Red Sox,Rivera,Eduardo,700842,No
AL,Boston Red Sox,Rutschman,Adley,668939,Yes
AL,Boston Red Sox,Samaniego,Tyler,701719,No
AL,Boston Red Sox,Sandoval,Patrick,663776,No
AL,Boston Red Sox,Seigler,Anthony,678011,No
AL,Boston Red Sox,Slaten,Justin,686580,No
AL,Boston Red Sox,Sogard,Nick,686765,Yes
AL,Boston Red Sox,Story,Trevor,596115,Yes
AL,Boston Red Sox,Suarez,Ranger,624133,Yes
AL,Boston Red Sox,Tolle,Payton,801139,Yes
AL,Boston Red Sox,Weissert,Greg,669711,No
AL,Boston Red Sox,White,Eli,642201,No
AL,Boston Red Sox,Whitlock,Garrett,676477,Yes
AL,Boston Red Sox,Wong,Connor,657136,No
AL,Boston Red Sox,Yoshida,Masataka,807799,No
AL,Chicago White Sox,Acuña,Luisangel,682668,No
AL,Chicago White Sox,Antonacci,Sam,803011,Yes
AL,Chicago White Sox,Bart,Joey,663698,No
AL,Chicago White Sox,Benintendi,Andrew,643217,Yes
AL,Chicago White Sox,Brazobán,Huascar,623211,No
AL,Chicago White Sox,Burke,Sean,680732,Yes
AL,Chicago White Sox,Cannon,Jonathan,686563,No
AL,Chicago White Sox,Castillo,Luis,622491,No
AL,Chicago White Sox,Davis,Tyler,699823,No
AL,Chicago White Sox,Domínguez,Seranthony,622554,No
AL,Chicago White Sox,Doyle,Brenton,686668,Yes
AL,Chicago White Sox,Fedde,Erick,607200,Yes
AL,Chicago White Sox,Gilbert,Tyler,656457,No
AL,Chicago White Sox,Grichuk,Randal,545341,Yes
AL,Chicago White Sox,Hicks,Jordan,663855,No
AL,Chicago White Sox,Hudson,Bryan,663542,Yes
AL,Chicago White Sox,Kay,Anthony,641743,Yes
AL,Chicago White Sox,Leasure,Jordan,673929,No
AL,Chicago White Sox,Martin,Davis,663436,Yes
AL,Chicago White Sox,McDougal,Tanner,701780,No
AL,Chicago White Sox,Meidroth,Chase,805367,Yes
AL,Chicago White Sox,Montgomery,Braden,695731,Yes
AL,Chicago White Sox,Montgomery,Colson,695657,Yes
AL,Chicago White Sox,Murakami,Munetaka,808959,Yes
AL,Chicago White Sox,Murphy,Chris,669684,No
AL,Chicago White Sox,Murray,Tanner,695020,No
AL,Chicago White Sox,Newcomb,Sean,656794,No
AL,Chicago White Sox,Nishida,Rikuu,807747,No
AL,Chicago White Sox,Pallette,Peyton,688883,No
AL,Chicago White Sox,Perez,Junior,678577,No
AL,Chicago White Sox,Peters,Tristan,671976,Yes
AL,Chicago White Sox,Pham,Tommy,502054,No
AL,Chicago White Sox,Quero,Edgar,700337,No
AL,Chicago White Sox,Richards,Trevor,670950,No
AL,Chicago White Sox,Rogers,Jake,668670,No
AL,Chicago White Sox,Romo,Drew,691011,No
AL,Chicago White Sox,Sandlin,David,689818,Yes
AL,Chicago White Sox,Schultz,Noah,702273,No
AL,Chicago White Sox,Schweitzer,Tyler,805326,No
AL,Chicago White Sox,Smith,Hagen,696146,Yes
AL,Chicago White Sox,Smith,Shane,681343,No
AL,Chicago White Sox,Taylor,Grant,691799,Yes
AL,Chicago White Sox,Teel,Kyle,691019,Yes
AL,Chicago White Sox,Vargas,Miguel,678246,Yes
AL,Chicago White Sox,Wiemer,Joey,686894,No
AL,Cleveland Guardians,Adell,Jo,666176,Yes
AL,Cleveland Guardians,Aleman,Franco,680916,No
AL,Cleveland Guardians,Allen,Logan,671106,No
AL,Cleveland Guardians,Armstrong,Shawn,542888,No
AL,Cleveland Guardians,Bailey,Patrick,672275,Yes
AL,Cleveland Guardians,Bazzana,Travis,683953,Yes
AL,Cleveland Guardians,Bibee,Tanner,676440,Yes
AL,Cleveland Guardians,Borucki,Ryan,621366,No
AL,Cleveland Guardians,Brogdon,Connor,641401,No
AL,Cleveland Guardians,Cantillo,Joey,676282,Yes
AL,Cleveland Guardians,Cecconi,Slade,677944,No
AL,Cleveland Guardians,DeLauter,Chase,800050,Yes
AL,Cleveland Guardians,Espino,Daniel,682982,No
AL,Cleveland Guardians,Festa,Matt,670036,No
AL,Cleveland Guardians,Fry,David,681807,No
AL,Cleveland Guardians,Gaddis,Hunter,683769,Yes
AL,Cleveland Guardians,Genao,Angel,694197,No
AL,Cleveland Guardians,Griffin,Foster,656492,Yes
AL,Cleveland Guardians,Halpin,Petey,690984,Yes
AL,Cleveland Guardians,Hedges,Austin,595978,No
AL,Cleveland Guardians,Hernández,Carlos,672578,No
AL,Cleveland Guardians,Herrin,Tim,682120,No
AL,Cleveland Guardians,Holderman,Colin,670059,No
AL,Cleveland Guardians,Hoskins,Rhys,656555,Yes
AL,Cleveland Guardians,Ingle,Cooper,694876,No
AL,Cleveland Guardians,Kayfus,CJ,692216,No
AL,Cleveland Guardians,Kwan,Steven,680757,Yes
AL,Cleveland Guardians,Lowe,Nathaniel,663993,Yes
AL,Cleveland Guardians,Manzardo,Kyle,700932,No
AL,Cleveland Guardians,Martínez,Angel,682657,Yes
AL,Cleveland Guardians,Messick,Parker,800048,Yes
AL,Cleveland Guardians,Perkins,Blake,663368,No
AL,Cleveland Guardians,Peterson,Austin,804926,No
AL,Cleveland Guardians,Ramírez,José,608070,Yes
AL,Cleveland Guardians,Rocchio,Brayan,677587,Yes
AL,Cleveland Guardians,Sabrowski,Erik,681870,Yes
AL,Cleveland Guardians,Schneemann,Daniel,682177,No
AL,Cleveland Guardians,Smith,Cade,671922,Yes
AL,Cleveland Guardians,Valera,George,671655,No
AL,Cleveland Guardians,Watson,Kahlil,696135,No
AL,Cleveland Guardians,Williams,Gavin,668909,Yes
AL,Cleveland Guardians,Yoho,Craig,684974,No
AL,Houston Astros,Abreu,Bryan,650556,Yes
AL,Houston Astros,Alexander,Jason,669920,No
AL,Houston Astros,Allen,Nick,669397,No
AL,Houston Astros,Altuve,Jose,514888,Yes
AL,Houston Astros,Alvarez,Yordan,670541,Yes
AL,Houston Astros,Barrosa,Jorge,678489,No
AL,Houston Astros,Blanco,Ronel,669854,No
AL,Houston Astros,Blubaugh,AJ,805123,Yes
AL,Houston Astros,Bolton,Cody,675989,No
AL,Houston Astros,Brown,Hunter,686613,Yes
AL,Houston Astros,Burrows,Mike,681347,No
AL,Houston Astros,Cole,Zach,805904,No
AL,Houston Astros,Correa,Carlos,621043,No
AL,Houston Astros,De Los Santos,Enyel,660853,No
AL,Houston Astros,Delgado,Raynel,669384,No
AL,Houston Astros,Dezenzo,Zach,701305,No
AL,Houston Astros,Diaz,Yainer,673237,Yes
AL,Houston Astros,Hader,Josh,623352,Yes
AL,Houston Astros,Imai,Tatsuya,837227,No
AL,Houston Astros,Javier,Cristian,664299,Yes
AL,Houston Astros,King,Bryan,687911,No
AL,Houston Astros,Lambert,Peter,663567,Yes
AL,Houston Astros,Loperfido,Joey,694388,No
AL,Houston Astros,Matthews,Brice,694728,No
AL,Houston Astros,Meyers,Jake,676694,No
AL,Houston Astros,Muñoz,Roddery,682610,No
AL,Houston Astros,Okert,Steven,595345,No
AL,Houston Astros,Paredes,Isaac,670623,Yes
AL,Houston Astros,Pecko,Ethan,814490,No
AL,Houston Astros,Peña,Jeremy,665161,Yes
AL,Houston Astros,Price,Collin,805672,No
AL,Houston Astros,Roa,Christian,685005,No
AL,Houston Astros,Salazar,César,663967,No
