owner,section,slot,label,player_id,player_name,2B,3B,AB,AVG,BB,CS,ER,ERA,G,GS,H,HB,HR,IP,K,L,OUTS,R,RBI,SB,SO,SV,W,WHIP
Ali,hitting,C,Smith,669257,Will Smith,2,0,58,0.27586206896551724,6,0,,,15,,16,,2,,,,,8,8,0,18,,,
Ali,hitting,1B,Harper,547180,Bryce Harper,1,0,15,0.2,3,0,,,4,,3,,0,,,,,1,0,0,3,,,
Ali,hitting,2B,Durbin,702332,Caleb Durbin,2,1,29,0.27586206896551724,3,1,,,9,,8,,0,,,,,3,2,3,8,,,
Ali,hitting,3B,Chisholm,665862,Jazz Chisholm Jr.,0,0,22,0.18181818181818182,3,0,,,7,,4,,1,,,,,3,1,0,5,,,
Ali,hitting,SS,Volpe,683011,Anthony Volpe,1,0,26,0.19230769230769232,0,0,,,7,,5,,1,,,,,2,2,0,16,,,
Ali,hitting,OF,Tucker,663656,Kyle Tucker,0,0,27,0.25925925925925924,5,1,,,8,,7,,1,,,,,5,1,0,5,,,
Ali,hitting,OF,Duran,680776,Jarren Duran,0,0,11,0.09090909090909091,0,0,,,3,,1,,0,,,,,1,0,0,4,,,
Ali,hitting,OF,Grisham,663757,Trent Grisham,2,0,29,0.13793103448275862,3,0,,,7,,4,,0,,,,,4,0,1,10,,,
Ali,hitting,Util,Freeman,518692,Freddie Freeman,5,0,68,0.22058823529411764,10,0,,,17,,15,,2,,,,,7,3,1,16,,,
Ali,hitting,Util,Ohtani,660271,Shohei Ohtani,3,1,68,0.2647058823529412,16,1,,,17,,18,,8,,,,,13,14,1,23,,,
Ali,pitching,SP,Skubal,669373,Tarik Skubal,,,,,4,,4,1.7419354838709677,3,3,10,0,2,20.2,36,0,62,4,,,,0,1,0.6774193548387096
Ali,pitching,SP,Rodon,607074,Carlos Rodón,,,,,5,,9,9.719999999999999,2,2,10,2,2,8.1,8,0,25,9,,,,0,0,1.7999999999999998
Ali,pitching,RP,Megill,656730,Trevor Megill,,,,,1,,1,2.25,5,1,3,0,1,4.0,5,0,12,1,,,,0,0,1.0
Ali,pitching,RP,Bednar,670280,David Bednar,,,,,1,,1,1.5,5,0,3,0,0,6.0,9,0,18,1,,,,2,0,0.6666666666666666
Ali,pitching,P,Imanaga,684007,Shota Imanaga,,,,,2,,6,8.1,2,1,8,0,3,6.2,6,1,20,6,,,,0,0,1.5
Ali,pitching,P,Cease,656302,Dylan Cease,,,,,1,,0,0.0,1,1,3,0,0,3.2,5,0,11,0,,,,0,0,1.090909090909091
Ali,pitching,W,Nola,605400,Aaron Nola,,,,,0,,0,0.0,1,1,1,1,0,2.0,3,0,6,0,,,,0,0,0.5
Baker,hitting,C,Kelly,608348,Carson Kelly,0,0,28,0.17857142857142858,1,0,,,8,,5,,1,,,,,2,1,0,12,,,
Baker,hitting,1B,Bohm,664761,Alec Bohm,0,0,12,0.3333333333333333,6,0,,,4,,4,,0,,,,,3,0,0,1,,,
