owner,category,expected,actual,difference,matches
Brian,R,58,58,0,True
Brian,HR,24,24,0,True
Brian,RBI,56,56,0,True
Brian,SB,2,2,0,True
Brian,BB,50,50,0,True
Brian,AVG,0.2547169811,0.25471698113207547,3.20754534044454e-11,True
Brian,W,5,5,0,True
Brian,L,5,5,0,True
Brian,SV,3,3,0,True
Brian,K,82,82,0,True
Brian,ERA,3.157245334,3.157258064516129,1.27305161288227e-05,True
Brian,WHIP,1.137092189,1.1370967741935483,4.585193548178879e-06,True
Mitch,R,47,47,0,True
Mitch,HR,14,14,0,True
Mitch,RBI,53,53,0,True
Mitch,SB,4,4,0,True
Mitch,BB,33,33,0,True
Mitch,AVG,0.2323232323,0.23232323232323232,2.3232332724276716e-11,True
Mitch,W,6,6,0,True
Mitch,L,2,2,0,True
Mitch,SV,2,2,0,True
Mitch,K,77,77,0,True
Mitch,ERA,2.755158269,2.7551020408163263,-5.6228183673567855e-05,True
Mitch,WHIP,1.224514786,1.2244897959183674,-2.499008163270311e-05,True
Ali,R,47,47,0,True
Ali,HR,15,15,0,True
Ali,RBI,31,31,0,True
Ali,SB,6,6,0,True
Ali,BB,49,49,0,True
Ali,AVG,0.2294617564,0.22946175637393768,-2.6062318969621856e-11,True
Ali,W,1,1,0,True
Ali,L,1,1,0,True
Ali,SV,2,2,0,True
Ali,K,72,72,0,True
Ali,ERA,3.681770367,3.6818181818181817,4.781481818172395e-05,True
Ali,WHIP,1.012973857,1.0129870129870129,1.315598701290277e-05,True
Tim,R,31,31,0,True
Tim,HR,8,8,0,True
Tim,RBI,32,32,0,True
Tim,SB,3,3,0,True
Tim,BB,24,24,0,True
Tim,AVG,0.2580645161,0.25806451612903225,2.9032276582796612e-11,True
Tim,W,7,7,0,True
Tim,L,5,5,0,True
Tim,SV,1,1,0,True
Tim,K,116,116,0,True
Tim,ERA,2.814682682,2.814671814671815,-1.0867328184893665e-05,True
Tim,WHIP,0.9382275607,0.9382239382239382,-3.6224760617820095e-06,True
Baker,R,32,32,0,True
Baker,HR,12,12,0,True
Baker,RBI,32,32,0,True
Baker,SB,8,8,0,True
Baker,BB,32,32,0,True
Baker,AVG,0.1979166667,0.19791666666666666,-3.33333360913457e-11,True
Baker,W,2,2,0,True
Baker,L,2,2,0,True
Baker,SV,2,2,0,True
Baker,K,42,42,0,True
Baker,ERA,3.240051841,3.24,-5.1840999999885895e-05,True
Baker,WHIP,1.128018048,1.1280000000000001,-1.8047999999826203e-05,True
Reed,R,28,28,0,True
Reed,HR,8,8,0,True
Reed,RBI,27,27,0,True
Reed,SB,4,4,0,True
Reed,BB,18,18,0,True
Reed,AVG,0.2751937984,0.2751937984496124,4.9612369767970677e-11,True
Reed,W,3,3,0,True
Reed,L,4,4,0,True
Reed,SV,3,3,0,True
Reed,K,45,45,0,True
Reed,ERA,3.306054978,3.306122448979592,6.747097959181048e-05,True
Reed,WHIP,1.183649313,1.183673469387755,2.415638775499218e-05,True
Russ,R,43,43,0,True
Russ,HR,17,17,0,True
Russ,RBI,46,46,0,True
Russ,SB,0,0,0,True
Russ,BB,29,29,0,True
Russ,AVG,0.2215568862,0.2215568862275449,2.754491079670629e-11,True
Russ,W,3,3,0,True
Russ,L,5,5,0,True
Russ,SV,0,0,0,True
Russ,K,35,35,0,True
Russ,ERA,5.307692308,5.3076923076923075,-3.076925381151341e-10,True
Russ,WHIP,1.461538462,1.4615384615384615,-4.615385851280962e-10,True
